38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	4	110	631	23	0	768
0	0	0	0	5	111	635	17	0	768
0	0	0	0	0	105	654	9	0	768
0	0	0	0	0	86	657	25	0	768
0	0	0	0	0	96	651	21	0	768
0	0	0	0	1	106	652	9	0	768
0	0	0	0	1	97	653	17	0	768
0	0	0	0	3	109	637	19	0	768
0	0	0	0	5	113	620	30	0	768
0	0	0	0	5	108	632	23	0	768
0	0	0	0	6	111	632	19	0	768
0	0	0	0	2	118	630	18	0	768
0	0	0	0	0	97	655	16	0	768
0	0	0	0	0	85	650	33	0	768
0	0	0	0	6	144	596	22	0	768
0	0	0	0	2	85	654	27	0	768
0	0	0	0	1	116	607	44	0	768
0	0	0	0	5	114	635	14	0	768
0	0	0	0	3	97	645	23	0	768
0	0	0	0	10	119	627	12	0	768
0	0	0	0	1	70	657	40	0	768
0	0	0	0	2	79	662	25	0	768
0	0	0	0	3	94	657	14	0	768
0	0	0	0	5	93	644	26	0	768
0	0	0	0	3	88	649	28	0	768
0	0	0	0	1	93	652	22	0	768
0	0	0	0	6	106	644	12	0	768
0	0	0	0	2	89	650	27	0	768
0	0	0	0	6	119	627	16	0	768
0	0	0	0	2	77	662	27	0	768
0	0	0	0	1	77	664	26	0	768
0	0	0	0	3	62	686	17	0	768
0	0	0	0	0	85	656	27	0	768
0	0	0	0	1	88	655	24	0	768
0	0	0	0	3	58	671	36	0	768
0	0	0	0	1	95	651	21	0	768
0	0	0	0	0	60	673	35	0	768
0	0	0	0	2	95	657	14	0	768
0	0	0	0	0	59	684	25	0	768
0	0	0	0	0	64	688	16	0	768
0	0	0	0	0	65	683	20	0	768
0	0	0	0	0	69	681	18	0	768
0	0	0	0	0	66	690	12	0	768
0	0	0	0	0	66	687	15	0	768
0	0	0	0	2	81	672	13	0	768
0	0	0	0	1	70	685	12	0	768
0	0	0	0	2	58	686	22	0	768
0	0	0	0	2	77	672	17	0	768
0	0	0	0	1	60	687	20	0	768
0	0	0	0	1	142	613	12	0	768
0	0	0	0	1	107	657	3	0	768
0	0	0	0	2	94	672	0	0	768
0	0	0	0	1	111	656	0	0	768
0	0	0	0	1	76	690	1	0	768
0	0	0	0	1	85	681	1	0	768
0	0	0	0	1	103	663	1	0	768
0	0	0	0	5	133	630	0	0	768
0	0	0	0	4	106	657	1	0	768
0	0	0	0	1	96	670	1	0	768
0	0	0	0	8	121	639	0	0	768
0	0	0	0	9	103	656	0	0	768
0	0	0	0	5	123	640	0	0	768
0	0	0	0	8	121	639	0	0	768
0	0	0	0	7	111	648	2	0	768
0	0	0	0	10	123	635	0	0	768
0	0	0	0	7	107	654	0	0	768
0	0	0	0	10	100	657	1	0	768
0	0	0	0	8	119	641	0	0	768
0	0	0	1	35	166	566	0	0	768
0	0	0	0	19	128	618	3	0	768
0	0	0	0	20	129	619	0	0	768
0	0	0	0	16	119	633	0	0	768
0	0	0	0	10	137	621	0	0	768
0	0	0	2	44	168	554	0	0	768
0	0	0	0	4	73	685	6	0	768
0	0	0	0	2	79	681	6	0	768
0	0	0	0	2	104	657	5	0	768
0	0	0	0	1	72	683	12	0	768
0	0	0	0	2	60	698	8	0	768
0	0	0	0	2	58	697	11	0	768
0	0	0	0	6	91	661	10	0	768
0	0	0	0	19	171	577	1	0	768
0	0	0	0	31	236	500	1	0	768
0	0	0	0	36	259	473	0	0	768
0	0	0	0	14	172	582	0	0	768
0	0	0	0	5	101	656	6	0	768
0	0	0	0	6	109	651	2	0	768
0	0	0	0	12	109	645	2	0	768
0	0	0	0	24	153	588	3	0	768
0	0	0	0	4	100	657	7	0	768
0	0	0	0	10	113	636	9	0	768
0	0	0	0	3	63	687	15	0	768
0	0	0	0	2	76	679	11	0	768
0	0	0	0	2	71	686	9	0	768
0	0	0	0	2	62	693	11	0	768
0	0	0	0	3	67	678	20	0	768
0	0	0	0	3	72	680	13	0	768
0	0	0	0	3	83	668	14	0	768
0	0	0	0	3	53	700	12	0	768
0	0	0	0	2	83	670	13	0	768
0	0	0	0	2	45	701	20	0	768
0	0	0	0	4	71	682	11	0	768
0	0	0	0	7	116	640	5	0	768
0	0	0	0	13	96	656	3	0	768
0	0	0	0	6	76	684	2	0	768
0	0	0	0	0	72	687	9	0	768
0	0	0	0	3	73	688	4	0	768
0	0	0	0	3	78	684	3	0	768
0	0	0	0	2	61	697	8	0	768
0	0	0	0	1	78	682	7	0	768
0	0	0	0	3	87	676	2	0	768
0	0	0	0	2	71	689	6	0	768
0	0	0	0	24	180	564	0	0	768
0	0	0	0	25	202	540	1	0	768
0	0	0	0	29	199	540	0	0	768
0	0	0	0	28	187	553	0	0	768
0	0	0	0	24	210	533	1	0	768
0	0	0	0	25	186	557	0	0	768
0	0	0	0	10	146	609	3	0	768
0	0	0	0	17	182	568	1	0	768
0	0	0	0	17	179	571	1	0	768
0	0	0	0	13	174	581	0	0	768
0	0	0	0	2	79	674	13	0	768
0	0	0	0	1	32	716	19	0	768
0	0	0	0	0	28	722	18	0	768
0	0	0	0	0	33	720	15	0	768
0	0	0	0	0	36	713	19	0	768
0	0	0	0	0	49	700	19	0	768
0	0	0	0	0	62	690	16	0	768
0	0	0	0	0	66	680	22	0	768
0	0	0	0	4	70	680	14	0	768
0	0	0	0	5	69	682	12	0	768
0	0	0	0	5	61	691	11	0	768
0	0	0	0	4	60	693	11	0	768
0	0	0	0	1	61	697	9	0	768
0	0	0	0	2	76	677	13	0	768
0	0	0	0	2	88	666	12	0	768
0	0	0	0	0	63	684	21	0	768
0	0	0	0	1	48	701	18	0	768
0	0	0	0	2	51	701	14	0	768
0	0	0	0	2	52	702	12	0	768
0	0	0	0	1	50	705	12	0	768
0	0	0	0	1	53	701	13	0	768
0	0	0	0	0	45	704	19	0	768
0	0	0	0	0	48	689	31	0	768
0	0	0	0	4	59	692	13	0	768
0	0	0	0	2	65	689	12	0	768
0	0	0	0	0	63	686	19	0	768
0	0	0	0	1	61	687	19	0	768
0	0	0	0	0	83	676	9	0	768
0	0	0	0	1	54	683	30	0	768
0	0	0	0	1	49	679	39	0	768
0	0	0	0	0	46	694	28	0	768
0	0	0	0	0	61	677	30	0	768
0	0	0	0	0	70	662	36	0	768
0	0	0	0	1	41	683	43	0	768
0	0	0	0	4	145	585	34	0	768
0	0	0	0	10	148	584	26	0	768
0	0	0	0	5	76	663	24	0	768
0	0	0	0	2	54	682	30	0	768
0	0	0	0	0	53	686	29	0	768
0	0	0	0	0	46	694	28	0	768
0	0	0	0	0	50	691	27	0	768
0	0	0	0	1	81	670	16	0	768
0	0	0	0	13	125	621	9	0	768
0	0	0	0	4	96	651	17	0	768
0	0	0	0	4	90	662	12	0	768
0	0	0	0	4	95	655	14	0	768
0	0	0	0	5	77	674	12	0	768
0	0	0	0	2	76	665	25	0	768
0	0	0	0	5	99	649	15	0	768
0	0	0	0	2	60	689	17	0	768
0	0	0	0	4	58	687	19	0	768
0	0	0	0	3	67	683	15	0	768
0	0	0	0	5	75	674	14	0	768
0	0	0	0	3	91	662	12	0	768
0	0	0	0	3	98	653	14	0	768
0	0	0	0	0	84	660	24	0	768
0	0	0	0	0	79	668	21	0	768
0	0	0	0	3	91	629	45	0	768
0	0	0	0	12	131	601	24	0	768
0	0	0	0	14	122	619	13	0	768
0	0	0	0	8	138	603	19	0	768
0	0	0	0	6	97	648	17	0	768
0	0	0	0	2	85	647	34	0	768
0	0	0	0	0	64	660	44	0	768
0	0	0	0	4	84	642	38	0	768
0	0	0	0	15	103	618	32	0	768
0	0	0	0	17	105	629	17	0	768
0	0	0	0	18	106	615	29	0	768
0	0	0	0	22	170	576	0	0	768
0	0	0	0	28	118	619	3	0	768
0	0	0	0	31	119	616	2	0	768
0	0	0	0	12	125	611	20	0	768
0	0	0	0	1	92	651	24	0	768
0	0	0	0	0	91	658	19	0	768
0	0	0	0	7	95	633	33	0	768
0	0	0	0	8	99	642	19	0	768
0	0	0	0	9	145	594	20	0	768
0	0	0	0	3	140	609	16	0	768
0	0	0	0	2	138	611	17	0	768
0	0	0	0	4	99	645	20	0	768
0	0	0	0	1	94	660	13	0	768
0	0	0	0	0	71	684	13	0	768
0	0	0	0	0	66	687	15	0	768
0	0	0	0	0	62	689	17	0	768
0	0	0	0	1	92	655	20	0	768
0	0	0	1	43	268	442	14	0	768
0	0	0	1	50	273	435	9	0	768
0	0	0	1	32	271	452	12	0	768
0	0	0	0	0	87	661	20	0	768
0	0	0	0	0	49	700	19	0	768
0	0	0	0	0	61	687	20	0	768
0	0	0	0	0	64	677	27	0	768
0	0	0	0	0	57	688	23	0	768
0	0	0	0	0	69	683	16	0	768
0	0	0	0	1	59	687	21	0	768
0	0	0	0	1	63	690	14	0	768
0	0	0	0	0	67	679	22	0	768
0	0	0	0	6	80	669	13	0	768
0	0	0	0	0	54	695	19	0	768
0	0	0	0	4	49	691	24	0	768
0	0	0	0	3	49	699	17	0	768
0	0	0	0	4	83	667	14	0	768
0	0	0	0	0	42	694	32	0	768
0	0	0	0	2	72	677	17	0	768
0	0	0	0	1	84	664	19	0	768
0	0	0	0	2	101	597	68	0	768
0	0	0	0	2	101	622	43	0	768
0	0	0	0	1	83	590	94	0	768
0	0	0	0	1	63	656	48	0	768
0	0	0	0	0	67	644	57	0	768
0	0	0	0	1	103	599	65	0	768
0	0	0	0	5	136	528	99	0	768
0	0	0	0	34	207	486	41	0	768
0	0	0	0	1	88	640	39	0	768
0	0	0	0	2	97	641	28	0	768
0	0	0	0	2	51	700	15	0	768
0	0	0	0	1	55	696	16	0	768
0	0	0	0	0	25	710	33	0	768
0	0	0	0	0	25	700	43	0	768
0	0	0	0	0	51	694	23	0	768
0	0	0	0	1	52	690	25	0	768
0	0	0	0	1	73	653	41	0	768
0	0	0	0	0	33	695	40	0	768
0	0	0	0	0	27	700	41	0	768
0	0	0	0	0	27	709	32	0	768
0	0	0	0	0	24	704	40	0	768
0	0	0	0	0	27	700	41	0	768
0	0	0	0	1	42	696	29	0	768
0	0	0	0	0	45	694	29	0	768
0	0	0	0	0	40	699	29	0	768
0	0	0	0	0	47	693	28	0	768
0	0	0	0	1	51	687	29	0	768
0	0	0	0	1	85	671	11	0	768
0	0	0	0	3	65	677	23	0	768
0	0	0	0	1	77	670	20	0	768
0	0	0	0	2	48	690	28	0	768
0	0	0	0	1	48	687	32	0	768
0	0	0	0	1	49	696	22	0	768
0	0	0	0	0	50	689	29	0	768
0	0	0	0	0	52	687	29	0	768
0	0	0	0	4	57	687	20	0	768
0	0	0	0	0	60	684	24	0	768
0	0	0	0	0	58	691	19	0	768
0	0	0	0	1	55	691	21	0	768
0	0	0	0	1	70	680	17	0	768
0	0	0	0	3	91	656	18	0	768
0	0	0	0	6	113	624	25	0	768
0	0	0	0	6	104	633	25	0	768
0	0	0	0	3	100	650	15	0	768
0	0	0	0	4	99	643	22	0	768
0	0	0	0	4	96	651	17	0	768
