38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	8	56	677	27	0	768
0	0	0	0	1	47	700	20	0	768
0	0	0	0	0	38	712	18	0	768
0	0	0	0	0	43	711	14	0	768
0	0	0	0	4	47	697	20	0	768
0	0	0	1	3	74	663	27	0	768
0	0	0	0	3	60	687	18	0	768
0	0	0	0	4	38	710	16	0	768
0	0	0	0	2	30	709	27	0	768
0	0	0	0	0	17	726	25	0	768
0	0	0	0	0	18	718	32	0	768
0	0	0	0	0	26	712	30	0	768
0	0	0	0	0	33	711	24	0	768
0	0	0	0	0	39	701	28	0	768
0	0	0	0	0	53	698	17	0	768
0	0	0	0	9	77	668	14	0	768
0	0	0	0	7	69	680	12	0	768
0	0	0	0	2	41	706	19	0	768
0	0	0	0	3	32	711	22	0	768
0	0	0	0	1	37	709	21	0	768
0	0	0	0	4	73	674	17	0	768
0	0	0	0	5	71	672	20	0	768
0	0	0	0	2	41	692	33	0	768
0	0	0	0	1	33	699	35	0	768
0	0	0	0	1	31	716	20	0	768
0	0	0	0	1	43	688	36	0	768
0	0	0	0	4	52	686	26	0	768
0	0	0	0	3	29	712	24	0	768
0	0	0	0	2	28	713	25	0	768
0	0	0	0	0	31	704	33	0	768
0	0	0	0	3	66	683	16	0	768
0	0	0	0	3	75	671	19	0	768
0	0	0	0	2	43	697	26	0	768
0	0	0	0	1	30	714	23	0	768
0	0	0	0	0	27	719	22	0	768
0	0	0	0	0	17	721	30	0	768
0	0	0	0	0	22	724	22	0	768
0	0	0	0	0	26	708	34	0	768
0	0	0	0	1	46	700	21	0	768
0	0	0	0	4	91	661	12	0	768
0	0	0	0	2	116	638	12	0	768
0	0	0	0	0	38	712	18	0	768
0	0	0	0	0	27	714	27	0	768
0	0	0	0	2	24	712	30	0	768
0	0	0	0	0	31	710	27	0	768
0	0	0	0	3	44	700	21	0	768
0	0	0	0	4	64	678	22	0	768
0	0	0	2	5	91	650	20	0	768
0	0	0	0	6	61	679	22	0	768
0	0	0	0	0	31	716	21	0	768
0	0	0	0	1	26	713	28	0	768
0	0	0	0	1	30	711	26	0	768
0	0	0	0	1	29	711	27	0	768
0	0	0	0	0	37	699	32	0	768
0	0	0	0	5	67	682	14	0	768
0	0	0	0	5	67	678	18	0	768
0	0	0	0	5	29	705	29	0	768
0	0	0	0	1	31	727	9	0	768
0	0	0	0	0	26	725	17	0	768
0	0	0	0	0	35	720	13	0	768
0	0	0	0	2	60	694	12	0	768
0	0	0	0	4	64	692	8	0	768
0	0	0	0	0	37	721	10	0	768
0	0	0	0	1	33	719	15	0	768
0	0	0	0	2	24	732	10	0	768
0	0	0	0	0	34	720	14	0	768
0	0	0	0	0	46	705	17	0	768
0	0	0	0	8	69	681	10	0	768
0	0	0	0	8	75	675	10	0	768
0	0	0	0	2	39	723	4	0	768
0	0	0	0	1	34	721	12	0	768
0	0	0	0	2	31	722	13	0	768
0	0	0	0	1	25	730	12	0	768
0	0	0	0	1	39	719	9	0	768
0	0	0	0	0	35	719	14	0	768
0	0	0	0	4	72	683	9	0	768
0	0	0	2	5	91	663	7	0	768
0	0	0	0	2	31	729	6	0	768
0	0	0	0	0	32	723	13	0	768
0	0	0	0	1	28	723	16	0	768
0	0	0	0	0	35	721	12	0	768
0	0	0	0	3	46	710	9	0	768
0	0	0	0	7	62	691	8	0	768
0	0	0	0	9	47	692	20	0	768
0	0	0	0	0	35	722	11	0	768
0	0	0	0	1	22	721	24	0	768
0	0	0	0	0	35	719	14	0	768
0	0	0	0	0	39	719	10	0	768
