38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	11	159	576	22	0	768
0	0	0	0	7	170	550	41	0	768
0	0	0	0	26	214	509	19	0	768
0	0	0	0	5	189	549	25	0	768
0	0	0	0	7	204	525	32	0	768
0	0	0	0	5	199	543	21	0	768
0	0	0	1	8	201	520	38	0	768
0	0	0	0	13	226	500	29	0	768
0	0	0	1	18	216	517	16	0	768
0	0	0	0	11	234	504	19	0	768
0	0	0	0	17	218	513	20	0	768
0	0	0	0	10	207	532	19	0	768
0	0	0	0	9	205	535	19	0	768
0	0	0	0	11	200	538	19	0	768
0	0	0	1	15	196	537	19	0	768
0	0	0	0	18	207	531	12	0	768
0	0	0	0	19	238	498	13	0	768
0	0	0	8	38	269	444	9	0	768
0	0	0	0	24	231	502	11	0	768
0	0	0	0	18	190	530	30	0	768
0	0	0	0	13	190	535	30	0	768
0	0	0	0	16	201	535	16	0	768
0	0	0	0	9	199	518	42	0	768
0	0	0	0	9	216	508	35	0	768
0	0	0	0	8	187	514	59	0	768
0	0	0	0	12	160	513	83	0	768
0	0	0	0	12	172	524	60	0	768
0	0	0	0	7	159	563	39	0	768
0	0	0	0	6	170	535	57	0	768
0	0	0	0	5	174	542	47	0	768
0	0	0	0	10	183	551	24	0	768
0	0	0	0	12	174	547	35	0	768
0	0	0	0	9	195	524	40	0	768
0	0	0	0	13	221	509	25	0	768
0	0	0	0	11	181	542	34	0	768
0	0	0	0	10	179	538	41	0	768
0	0	0	0	9	154	565	40	0	768
0	0	0	0	9	163	561	35	0	768
0	0	0	0	10	139	570	49	0	768
0	0	0	0	10	155	585	18	0	768
0	0	0	0	9	113	613	33	0	768
0	0	0	0	10	113	589	56	0	768
0	0	0	0	13	130	594	31	0	768
0	0	0	0	10	95	579	84	0	768
0	0	0	0	12	123	582	51	0	768
0	0	0	0	10	175	522	61	0	768
0	0	0	0	6	171	498	93	0	768
0	0	0	0	10	197	497	64	0	768
0	0	0	0	8	159	517	84	0	768
0	0	0	0	11	171	536	50	0	768
0	0	0	0	13	149	558	48	0	768
0	0	0	0	10	125	567	66	0	768
0	0	0	0	13	144	579	32	0	768
0	0	0	0	7	158	568	35	0	768
0	0	0	0	14	196	529	29	0	768
0	0	0	0	18	161	547	42	0	768
0	0	0	0	18	159	559	32	0	768
0	0	0	0	18	158	546	46	0	768
0	0	0	0	18	157	549	44	0	768
0	0	0	0	15	162	554	37	0	768
0	0	0	0	15	170	544	39	0	768
0	0	0	0	16	198	515	39	0	768
0	0	0	0	12	210	524	22	0	768
0	0	0	0	5	173	527	63	0	768
0	0	0	0	9	150	536	73	0	768
0	0	0	0	9	156	558	45	0	768
0	0	0	0	6	154	556	52	0	768
0	0	0	0	10	168	550	40	0	768
0	0	0	0	4	202	509	53	0	768
0	0	0	0	30	284	384	70	0	768
0	0	0	0	9	203	499	57	0	768
0	0	0	0	8	161	559	40	0	768
0	0	0	0	7	136	586	39	0	768
0	0	0	0	1	111	595	61	0	768
0	0	0	0	1	132	554	81	0	768
0	0	0	0	2	120	589	57	0	768
0	0	0	0	6	113	594	55	0	768
0	0	0	0	6	130	592	40	0	768
0	0	0	0	4	132	589	43	0	768
0	0	0	0	6	143	598	21	0	768
0	0	0	0	3	129	599	37	0	768
0	0	0	0	9	109	609	41	0	768
0	0	0	0	17	164	564	23	0	768
0	0	0	0	8	123	607	30	0	768
0	0	0	0	9	125	596	38	0	768
0	0	0	0	14	160	574	20	0	768
0	0	0	0	8	173	566	21	0	768
0	0	0	0	21	183	542	22	0	768
0	0	0	0	9	152	557	50	0	768
0	0	0	0	6	135	583	44	0	768
0	0	0	0	8	117	577	66	0	768
0	0	0	0	10	170	544	44	0	768
0	0	0	1	24	259	474	10	0	768
0	0	0	0	12	166	548	42	0	768
0	0	0	0	16	142	569	41	0	768
0	0	0	0	13	155	555	45	0	768
0	0	0	1	18	183	519	47	0	768
0	0	0	0	13	158	563	34	0	768
0	0	0	0	17	178	536	37	0	768
0	0	0	0	13	226	522	7	0	768
0	0	0	0	17	202	526	23	0	768
0	0	0	0	15	200	493	60	0	768
0	0	0	0	20	186	530	32	0	768
0	0	0	0	19	173	540	36	0	768
0	0	0	0	19	152	521	76	0	768
0	0	0	1	22	198	495	52	0	768
0	0	0	0	20	199	525	24	0	768
0	0	0	0	19	197	505	47	0	768
0	0	0	2	24	220	504	18	0	768
0	0	0	1	25	191	539	12	0	768
0	0	0	0	20	167	564	17	0	768
0	0	0	0	5	130	563	70	0	768
0	0	0	0	7	165	544	52	0	768
0	0	0	0	8	226	481	53	0	768
0	0	0	0	11	234	463	60	0	768
0	0	0	0	13	154	560	41	0	768
0	0	0	0	7	147	550	64	0	768
0	0	0	0	13	172	544	39	0	768
0	0	0	0	19	212	506	31	0	768
0	0	0	0	4	189	519	56	0	768
0	0	0	0	27	269	458	14	0	768
0	0	0	0	8	165	550	45	0	768
0	0	0	0	6	140	563	59	0	768
0	0	0	0	13	190	530	35	0	768
0	0	0	0	10	191	501	66	0	768
0	0	0	0	15	258	440	55	0	768
0	0	0	0	7	177	530	54	0	768
0	0	0	0	14	187	550	17	0	768
0	0	0	0	20	168	559	21	0	768
0	0	0	0	15	144	581	28	0	768
0	0	0	0	25	230	495	18	0	768
0	0	0	0	24	273	436	35	0	768
0	0	0	0	17	344	391	16	0	768
0	0	0	0	8	310	438	12	0	768
0	0	0	0	11	260	458	39	0	768
0	0	0	0	25	344	395	4	0	768
0	0	0	0	28	282	451	7	0	768
0	0	0	0	23	272	448	25	0	768
0	0	0	0	22	267	452	27	0	768
0	0	0	0	28	268	456	16	0	768
0	0	0	0	40	312	415	1	0	768
0	0	0	0	41	301	421	5	0	768
0	0	0	0	27	256	450	35	0	768
0	0	0	0	17	208	487	56	0	768
0	0	0	0	17	179	517	55	0	768
0	0	0	0	13	170	501	84	0	768
0	0	0	0	16	179	533	40	0	768
0	0	0	0	10	164	551	43	0	768
0	0	0	0	13	189	534	32	0	768
0	0	0	0	25	225	472	46	0	768
0	0	0	0	24	207	489	48	0	768
0	0	0	0	29	211	488	40	0	768
0	0	0	0	23	201	493	51	0	768
0	0	0	0	12	174	504	78	0	768
0	0	0	0	23	192	471	82	0	768
0	0	0	0	21	189	473	85	0	768
0	0	0	0	1	133	487	147	0	768
0	0	0	0	6	151	532	79	0	768
0	0	0	0	12	167	539	50	0	768
0	0	0	0	14	126	553	75	0	768
0	0	0	0	10	152	524	82	0	768
0	0	0	0	11	171	473	113	0	768
0	0	0	0	9	148	454	157	0	768
0	0	0	0	2	111	541	114	0	768
0	0	0	0	3	130	502	133	0	768
0	0	0	0	14	184	476	94	0	768
0	0	0	0	13	186	458	111	0	768
0	0	0	0	15	188	468	97	0	768
0	0	0	0	12	211	453	92	0	768
0	0	0	0	10	172	461	125	0	768
0	0	0	0	2	103	494	169	0	768
0	0	0	0	6	132	475	155	0	768
0	0	0	0	10	165	467	126	0	768
0	0	0	0	9	167	513	79	0	768
0	0	0	0	9	127	533	99	0	768
0	0	0	0	5	124	519	120	0	768
0	0	0	0	8	121	507	132	0	768
0	0	0	0	6	128	479	155	0	768
0	0	0	0	7	156	481	124	0	768
0	0	0	0	15	210	485	58	0	768
0	0	0	0	11	198	465	94	0	768
0	0	0	0	8	150	496	114	0	768
0	0	0	0	14	200	459	95	0	768
